date	Export	Import
1796	696	818
1797	691	706
1798	719	976
1799	802	997
1800	795	1141
1801	844	1190
1802	956	1159
1803	771	1060
1804	800	1095
1805	844	1106
1806	919	1032
1807	914	1067
1808	961	937
1809	1265	1169
1810	1259	1457
1811	860	1011
1812	1137	997
1813	1174	1101
1814	1210	1204
1815	1545	1239
1816	1306	1025
1817	1400	1190
1818	1553	1499
1819	1244	1253
1820	1368	1274
1821	1529	1190
1822	1575	1201
1823	1561	1404
1824	1730	1471
1825	1625	1840
1826	1558	1541
1827	1831	1780
1828	1862	1819
1829	2004	1798
1830	2009	1885
1831	2091	2040
1832	2251	1759
1833	2310	1850
1834	2423	2012
1835	2654	2001
1836	2785	2387
1837	2515	2240
1838	2996	2493
1839	3112	2654
1840	3276	2689
1841	3417	2679
1842	3343	2545
1843	3715	2594
1844	4027	2882
1845	4088	3223
1846	4008	3125
1847	4151	3848
1848	4085	3669
1849	5262	4213
1850	5632	4058
1851	5966	4343
1852	6280	4213
1853	7229	4975
1854	7173	4803
1855	7323	4399
1856	8451	5203
1857	8557	5224
1858	8492	5266
1859	9272	5631
1860	9801	6432
1861	9410	6804
1862	8944	6948
1863	9615	7015
1864	9607	7018
1865	10469	7436
1866	11288	8138
1867	11474	8012
1868	12303	8598
1869	12897	8875
1870	13755	9339
1871	15953	10920
1872	16142	10969
1873	15576	11463
1874	15765	11661
1875	15828	12353
1876	15765	12649
1877	16142	12946
1878	16393	13044
1879	17461	13539
1880	19219	14576
1881	20601	14230
1882	20978	14971
1883	21731	15811
1884	21606	15268
1885	20789	15416
1886	21355	15564
1887	22548	16454
1888	23930	16997
1889	24997	18480
1890	24935	18480
1891	23741	18875
1892	23553	19171
1893	22234	18776
1894	23364	20308
1895	25060	21345
1896	26128	22531
1897	26254	23025
1898	26316	23816
1899	27573	24310
1900	26442	24952
1901	27133	26039
1902	28264	26188
1903	29394	26089
1904	29897	26385
1905	32534	27077
1906	34670	27966
1907	36868	28411
1908	34167	27126
1909	36114	28263
1910	38815	29103
1911	39820	29943
1912	42018	32117
1913	43400	33204
1914	35999	31278
1915	29876	33037
1916	34488	30608
1917	24606	26128
1918	19220	26630
1919	28210	29938
1920	30264	29771
1921	24024	26268
1922	30301	30178
1923	33253	32336
1924	34374	35513
1925	34150	36490
1926	31385	37875
1927	35345	38486
1928	35569	37305
1929	36765	39178
1930	31609	38690
1931	25481	40115
1932	24921	35798
1933	25332	35757
1934	26303	37386
1935	29666	39219
1936	28844	40115
1937	30301	41622
1938	28246	40807
1939	26229	44228
1940	17785	46346
1941	15281	39626
1942	13824	33436
1943	15244	33192
1944	19279	36898
1945	15767	34413
1946	26490	35106
1947	26528	35228
1948	32319	34454
1949	35861	37159
1950	40965	37470
1951	40557	40100
1952	39735	37115
1953	41395	40045
1954	43727	41512
1955	46744	45624
1956	48896	45782
1957	50179	46939
1958	49423	47473
1959	50774	50637
1960	53673	56737
1961	55393	56338
1962	56335	57533
1963	59091	59715
1964	61034	66185
1965	63692	66812
1966	66997	68505
1967	67359	73419
1968	75623	78970
1969	83024	81567
1970	87436	85577
1971	93694	90078
1972	94908	98964
1973	106806	109948
1974	114915	111235
1975	111881	104163
1976	122168	109568
1977	130492	111696
1978	132911	115963
1979	137883	127139
1980	137483	122852
1981	136794	119565
1982	138317	125467
1983	141116	133701
1984	150656	146888
1985	159471	150583
1986	166114	160947
1987	176901	173766
1988	178867	196023
1989	187698	210678
1990	198154	212022
1991	198475	202850
1992	207442	216637
1993	216890	223942
1994	236909	237252
1995	259322	250421
1996	278469	274322
1997	300208	299677
1998	309008	326099
1999	316167	348784
2000	345168	381455
2001	348358	394962
2002	353064	410934
2003	370556	430385
2004	390109	462701
2005	414745	483160
2006	456138	520643
2007	467097	537293
2008	474205	526439
2009	433996	474302
2010	460121	515712
2011	485934	520522
2012	489833	537318
2013	497797	545561
